Time,Heart Rate
00:27:00,86
00:28:00,77
00:29:00,54
00:30:00,47
00:31:00,48
00:32:00,51
00:33:00,47
00:34:00,47
00:35:00,46
00:36:00,48
00:37:00,47
00:38:00,52
00:39:00,48
00:40:00,47
00:41:00,48
00:42:00,46
00:43:00,55
00:44:00,50
00:45:00,48
00:46:00,48
00:47:00,47
00:48:00,49
00:49:00,47
00:50:00,47
00:51:00,45
00:52:00,45
00:53:00,47
00:54:00,47
00:55:00,44
00:56:00,44
00:57:00,44
00:58:00,49
00:59:00,46
01:00:00,44
01:01:00,49
01:02:00,45
01:03:00,48
01:04:00,46
01:05:00,47
01:06:00,51
01:07:00,49
01:08:00,47
01:09:00,45
01:10:00,46
01:11:00,46
01:12:00,46
01:13:00,45
01:14:00,43
01:15:00,45
01:16:00,44
01:17:00,44
01:18:00,44
01:19:00,43
01:20:00,43
01:21:00,42
01:22:00,43
01:23:00,46
01:24:00,44
01:25:00,42
01:26:00,41
01:27:00,41
01:28:00,41
01:29:00,41
01:30:00,41
01:31:00,41
01:32:00,41
01:33:00,41
01:34:00,41
01:35:00,41
01:36:00,41
01:37:00,41
01:38:00,41
01:39:00,41
01:40:00,43
01:41:00,51
01:42:00,45
01:43:00,42
01:44:00,41
01:45:00,41
01:46:00,41
01:47:00,41
01:48:00,40
01:49:00,40
01:50:00,41
01:51:00,41
01:52:00,40
01:53:00,41
01:54:00,41
01:55:00,41
01:56:00,41
01:57:00,41
01:58:00,41
01:59:00,41
02:00:00,41
02:01:00,41
02:02:00,41
02:03:00,41
02:04:00,41
02:05:00,41
02:06:00,41
02:07:00,41
02:08:00,42
02:09:00,41
02:10:00,41
02:11:00,42
02:12:00,42
02:13:00,42
02:14:00,41
02:15:00,42
02:16:00,41
02:17:00,41
02:18:00,42
02:19:00,45
02:20:00,44
02:21:00,44
02:22:00,46
02:23:00,45
02:24:00,47
02:25:00,49
02:26:00,51
02:27:00,50
02:28:00,52
02:29:00,47
02:30:00,48
02:31:00,49
02:32:00,49
02:33:00,48
02:34:00,49
02:35:00,50
02:36:00,51
02:37:00,57
02:38:00,46
02:39:00,47
02:40:00,47
02:41:00,46
02:42:00,45
02:43:00,45
02:44:00,49
02:45:00,42
02:46:00,42
02:47:00,43
02:48:00,43
02:49:00,43
02:50:00,43
02:51:00,44
02:52:00,42
02:53:00,43
02:54:00,42
02:55:00,42
02:56:00,42
