Time,Heart Rate
00:00:00,54
00:01:00,54
00:02:00,58
00:03:00,51
00:04:00,56
00:05:00,53
00:06:00,52
00:07:00,53
00:08:00,52
00:09:00,54
00:10:00,53
00:11:00,53
00:12:00,52
00:13:00,54
00:14:00,53
00:15:00,53
00:16:00,51
00:17:00,53
00:18:00,51
00:19:00,53
00:20:00,49
00:21:00,54
00:22:00,52
00:23:00,52
00:24:00,49
00:25:00,50
00:26:00,53
00:27:00,49
00:28:00,56
00:29:00,53
00:30:00,55
00:31:00,57
00:32:00,55
00:33:00,54
00:34:00,52
00:35:00,53
00:36:00,53
00:37:00,49
00:38:00,51
00:39:00,50
00:40:00,50
00:41:00,53
00:42:00,49
00:43:00,49
00:44:00,51
00:45:00,53
00:46:00,52
00:47:00,53
00:48:00,56
00:49:00,59
00:50:00,54
00:51:00,54
00:52:00,53
00:53:00,53
00:54:00,50
00:55:00,48
00:56:00,50
00:57:00,49
00:58:00,52
00:59:00,53
01:00:00,50
01:01:00,51
01:04:00,52
01:05:00,53
01:06:00,54
01:07:00,54
01:08:00,54
01:09:00,50
01:10:00,57
01:11:00,63
01:12:00,62
01:13:00,61
01:14:00,54
01:15:00,55
01:16:00,58
01:17:00,58
01:18:00,59
01:19:00,52
01:20:00,51
01:21:00,52
01:22:00,51
01:23:00,51
01:24:00,51
01:25:00,51
01:26:00,49
01:27:00,52
01:28:00,51
01:29:00,49
01:30:00,50
01:31:00,49
01:32:00,51
01:33:00,56
01:34:00,67
01:35:00,70
01:36:00,69
01:37:00,67
01:38:00,70
01:39:00,70
01:40:00,72
01:41:00,62
01:42:00,59
01:43:00,61
01:44:00,64
01:45:00,57
01:46:00,59
01:47:00,54
01:48:00,54
01:49:00,55
01:50:00,53
01:51:00,56
01:52:00,57
01:53:00,56
01:54:00,56
01:55:00,57
01:56:00,57
01:57:00,56
01:58:00,57
01:59:00,55
02:00:00,53
02:01:00,53
02:02:00,56
02:03:00,54
02:04:00,56
02:05:00,58
02:06:00,56
02:07:00,56
02:08:00,57
02:09:00,60
02:10:00,55
02:11:00,57
02:12:00,58
02:13:00,56
02:14:00,57
02:15:00,58
02:16:00,57
02:17:00,58
02:18:00,61
02:19:00,58
02:20:00,56
02:21:00,55
02:22:00,55
02:23:00,56
02:24:00,55
02:25:00,54
02:26:00,53
02:27:00,54
02:28:00,49
02:29:00,52
02:30:00,55
02:31:00,54
02:32:00,53
02:33:00,52
02:34:00,55
02:35:00,58
02:36:00,55
02:37:00,54
02:38:00,56
02:39:00,56
02:40:00,57
02:41:00,56
02:42:00,57
02:43:00,58
02:44:00,57
