Time,Heart Rate
00:09:00,88
00:10:00,82
00:11:00,86
00:12:00,71
00:13:00,66
00:14:00,66
00:15:00,69
00:16:00,68
00:17:00,68
00:18:00,63
00:19:00,68
00:20:00,63
00:21:00,69
00:22:00,67
00:23:00,64
00:24:00,64
00:25:00,62
00:26:00,65
00:27:00,64
00:28:00,65
00:29:00,65
00:30:00,64
00:31:00,65
00:32:00,62
00:33:00,59
00:34:00,62
00:35:00,60
00:36:00,60
00:37:00,60
00:38:00,63
00:39:00,61
00:40:00,59
00:41:00,61
00:42:00,62
00:43:00,58
00:44:00,56
00:45:00,57
00:46:00,59
00:47:00,63
00:48:00,60
00:49:00,59
00:50:00,59
00:51:00,60
00:52:00,59
00:53:00,62
00:54:00,61
00:55:00,61
00:56:00,67
00:57:00,65
00:58:00,58
00:59:00,56
01:00:00,55
01:01:00,54
01:02:00,55
01:03:00,56
01:04:00,54
01:05:00,54
01:06:00,54
01:07:00,53
01:08:00,53
01:09:00,52
01:10:00,52
01:11:00,53
01:12:00,53
01:13:00,52
01:14:00,52
01:15:00,54
01:16:00,64
01:17:00,58
01:18:00,59
01:19:00,62
01:20:00,57
01:21:00,55
01:22:00,54
01:26:00,68
01:27:00,56
01:28:00,52
01:29:00,54
01:30:00,62
01:31:00,57
01:32:00,62
01:33:00,59
01:34:00,59
01:35:00,57
01:40:00,76
01:41:00,67
01:42:00,53
01:43:00,53
01:44:00,54
01:45:00,53
01:46:00,53
01:47:00,56
01:48:00,58
01:57:00,66
01:58:00,61
01:59:00,54
02:00:00,54
02:01:00,54
02:02:00,53
02:03:00,54
02:04:00,53
02:05:00,53
02:06:00,53
02:07:00,59
02:08:00,57
02:09:00,55
02:10:00,54
02:11:00,51
02:12:00,49
02:13:00,49
02:14:00,49
02:15:00,49
02:16:00,49
02:17:00,48
02:18:00,47
02:19:00,48
02:20:00,48
02:21:00,48
02:22:00,48
02:23:00,57
02:24:00,54
02:25:00,50
02:26:00,51
02:27:00,54
02:28:00,48
02:29:00,47
02:30:00,48
02:31:00,48
02:32:00,51
02:33:00,50
02:34:00,49
02:35:00,50
02:36:00,49
02:37:00,50
02:38:00,48
02:39:00,49
02:40:00,49
02:41:00,49
02:42:00,49
02:43:00,50
02:44:00,50
02:45:00,49
02:46:00,50
02:47:00,50
02:48:00,49
02:49:00,50
02:50:00,50
02:51:00,51
02:52:00,50
02:53:00,51
02:54:00,51
02:55:00,50
02:56:00,50
02:57:00,51
02:58:00,50
02:59:00,50
03:00:00,50
03:01:00,50
03:02:00,51
03:03:00,50
03:04:00,51
03:05:00,50
03:06:00,51
03:07:00,52
03:08:00,63
03:09:00,59
03:10:00,57
03:11:00,51
03:12:00,51
03:13:00,52
03:14:00,52
03:15:00,53
03:16:00,54
03:17:00,54
03:18:00,54
03:19:00,53
03:20:00,58
03:21:00,50
03:22:00,55
03:23:00,55
03:24:00,56
03:25:00,51
03:26:00,50
03:27:00,52
03:28:00,48
03:29:00,50
03:30:00,51
03:32:00,51
03:33:00,48
03:34:00,49
03:35:00,49
03:36:00,50
03:37:00,49
03:38:00,50
03:39:00,48
03:40:00,49
03:41:00,49
03:42:00,48
03:43:00,48
03:44:00,47
03:45:00,51
03:46:00,47
03:47:00,46
03:48:00,47
03:49:00,45
03:50:00,45
03:51:00,45
03:52:00,45
03:53:00,45
03:54:00,45
03:55:00,44
03:56:00,45
03:57:00,44
03:58:00,43
03:59:00,44
04:00:00,44
04:01:00,44
04:02:00,44
04:03:00,44
04:04:00,45
04:05:00,44
04:06:00,49
04:07:00,43
04:08:00,42
04:09:00,42
04:10:00,43
04:11:00,42
04:12:00,42
04:13:00,43
04:14:00,43
04:15:00,43
04:16:00,43
04:17:00,44
04:18:00,44
04:19:00,44
04:20:00,44
04:21:00,44
04:22:00,43
04:23:00,43
04:24:00,43
04:25:00,44
04:26:00,44
04:27:00,44
04:28:00,43
04:29:00,43
04:30:00,43
04:31:00,44
04:32:00,43
04:33:00,43
04:34:00,43
04:35:00,43
04:36:00,43
04:37:00,43
04:38:00,42
04:39:00,42
04:40:00,42
04:41:00,44
04:42:00,45
04:43:00,46
04:44:00,45
04:45:00,47
04:46:00,47
04:47:00,47
04:48:00,47
04:49:00,48
04:50:00,50
04:51:00,49
04:52:00,54
04:53:00,52
04:54:00,48
04:55:00,47
04:56:00,49
04:57:00,45
04:58:00,45
04:59:00,45
05:00:00,47
05:01:00,46
05:02:00,46
05:03:00,51
05:04:00,45
05:05:00,43
05:06:00,43
05:07:00,44
05:08:00,43
05:09:00,46
05:10:00,54
05:11:00,54
05:12:00,43
05:13:00,42
05:14:00,43
05:15:00,43
05:16:00,43
05:17:00,42
05:18:00,42
05:19:00,42
05:20:00,42
05:21:00,42
05:22:00,41
05:23:00,42
05:24:00,42
05:25:00,42
05:26:00,42
05:27:00,42
05:28:00,41
05:29:00,42
05:30:00,42
05:31:00,43
05:32:00,42
05:33:00,43
05:34:00,42
05:35:00,43
05:36:00,42
05:37:00,42
05:38:00,42
05:39:00,42
05:40:00,42
05:41:00,42
05:42:00,43
05:43:00,42
05:44:00,43
05:45:00,42
05:46:00,41
05:47:00,42
05:48:00,42
05:49:00,43
05:50:00,42
05:51:00,43
05:52:00,42
05:53:00,41
05:54:00,42
05:55:00,41
05:56:00,42
05:57:00,42
05:58:00,42
05:59:00,43
06:00:00,42
06:01:00,42
06:02:00,42
06:03:00,42
06:04:00,44
06:05:00,49
06:06:00,44
06:07:00,44
06:08:00,43
06:09:00,43
06:10:00,43
06:11:00,44
06:12:00,44
06:13:00,46
06:14:00,46
06:15:00,45
06:16:00,45
06:17:00,46
06:18:00,46
06:19:00,46
06:20:00,46
06:21:00,46
06:22:00,48
06:23:00,45
06:24:00,46
06:25:00,49
06:26:00,45
06:27:00,46
06:28:00,45
06:29:00,45
06:30:00,44
06:31:00,45
06:32:00,45
06:33:00,46
06:34:00,44
06:35:00,45
06:36:00,48
06:37:00,45
06:38:00,45
06:39:00,48
06:40:00,44
06:41:00,46
06:42:00,48
06:43:00,52
06:44:00,45
06:45:00,44
06:46:00,44
06:47:00,45
06:48:00,43
06:49:00,43
06:50:00,43
06:51:00,43
06:52:00,44
06:53:00,43
06:54:00,43
06:55:00,44
06:56:00,43
06:57:00,44
06:58:00,42
06:59:00,43
07:00:00,43
07:01:00,50
07:02:00,42
07:03:00,43
07:04:00,42
07:05:00,42
07:06:00,42
07:07:00,42
07:08:00,42
07:09:00,41
07:10:00,41
07:11:00,41
07:12:00,49
07:13:00,50
07:14:00,43
07:15:00,42
07:16:00,42
07:17:00,43
07:18:00,44
07:19:00,42
07:20:00,42
07:21:00,42
07:22:00,42
07:23:00,42
07:24:00,43
07:25:00,42
07:26:00,42
07:27:00,42
07:28:00,50
07:29:00,45
07:30:00,42
07:31:00,42
07:32:00,42
07:35:00,42
07:36:00,42
