Time,Heart Rate
01:01:00,65
01:02:00,66
01:03:00,69
01:04:00,68
01:05:00,54
01:06:00,53
01:07:00,53
01:08:00,52
01:09:00,49
01:10:00,51
01:11:00,50
01:12:00,50
01:13:00,53
01:14:00,56
01:15:00,51
01:16:00,52
01:17:00,52
01:18:00,51
01:19:00,50
01:20:00,50
01:21:00,51
01:22:00,59
01:23:00,53
01:24:00,52
01:25:00,50
01:26:00,49
01:27:00,49
01:28:00,53
01:29:00,52
01:30:00,51
01:31:00,50
01:32:00,49
01:33:00,54
01:34:00,50
01:35:00,51
01:36:00,50
01:37:00,49
01:38:00,50
01:39:00,52
01:40:00,51
01:41:00,50
01:42:00,55
01:43:00,56
01:44:00,52
01:45:00,52
01:46:00,53
01:47:00,56
01:48:00,53
01:49:00,56
01:50:00,53
01:51:00,51
01:52:00,52
01:53:00,61
01:54:00,62
01:55:00,58
01:56:00,56
01:57:00,56
01:58:00,57
01:59:00,55
02:00:00,57
02:01:00,56
02:02:00,54
02:03:00,56
02:04:00,57
02:05:00,59
02:06:00,53
02:07:00,52
02:08:00,53
02:09:00,53
02:10:00,53
02:11:00,51
02:12:00,52
02:13:00,57
02:14:00,56
02:15:00,53
02:16:00,51
02:17:00,52
02:18:00,52
02:19:00,56
02:20:00,54
02:21:00,51
02:22:00,53
02:23:00,53
02:24:00,53
02:25:00,54
02:26:00,50
02:27:00,47
02:28:00,48
02:29:00,48
02:30:00,50
02:31:00,48
02:32:00,48
02:33:00,49
02:34:00,49
02:35:00,50
02:36:00,49
02:37:00,52
02:38:00,49
02:39:00,48
02:40:00,46
02:41:00,49
02:42:00,56
02:43:00,52
02:44:00,48
02:45:00,48
02:46:00,49
02:47:00,52
02:48:00,46
02:49:00,47
02:50:00,52
02:51:00,49
02:52:00,50
02:53:00,49
02:54:00,46
02:55:00,47
02:56:00,47
02:57:00,47
02:58:00,45
02:59:00,46
03:00:00,46
03:01:00,46
03:02:00,53
03:03:00,47
03:04:00,49
03:05:00,48
03:06:00,47
03:07:00,46
03:08:00,47
03:09:00,46
03:10:00,46
03:11:00,46
03:12:00,45
03:13:00,44
03:14:00,48
03:15:00,49
03:16:00,46
03:22:00,73
03:23:00,61
03:24:00,45
