Time,Heart Rate
00:00:00,60
00:01:00,69
10:36:00,68
10:37:00,72
10:38:00,78
10:39:00,79
10:40:00,80
10:41:00,85
10:42:00,88
10:43:00,88
10:44:00,69
10:45:00,70
10:46:00,73
10:47:00,74
10:48:00,91
10:49:00,112
10:50:00,101
10:51:00,73
10:52:00,62
10:53:00,60
10:54:00,56
10:55:00,57
10:56:00,58
10:57:00,57
10:58:00,63
10:59:00,59
11:00:00,60
11:01:00,53
11:02:00,55
11:03:00,54
11:04:00,54
11:05:00,54
11:06:00,53
11:07:00,52
11:08:00,55
11:09:00,55
11:10:00,53
11:11:00,53
11:12:00,56
11:13:00,56
11:14:00,54
11:15:00,57
11:16:00,54
11:17:00,55
11:18:00,53
11:19:00,55
11:20:00,61
11:21:00,67
11:22:00,68
11:23:00,69
11:24:00,69
11:25:00,67
11:26:00,67
11:27:00,69
11:28:00,63
11:29:00,73
11:30:00,87
11:31:00,95
11:32:00,95
11:35:00,56
11:36:00,54
11:37:00,55
11:38:00,55
11:39:00,58
11:40:00,60
11:41:00,62
11:42:00,59
11:43:00,59
11:44:00,55
11:45:00,57
11:46:00,57
11:47:00,58
11:48:00,55
11:49:00,57
11:50:00,58
11:51:00,55
11:52:00,56
11:53:00,55
11:54:00,59
11:55:00,57
11:56:00,61
11:57:00,62
11:58:00,66
11:59:00,65
12:00:00,61
12:01:00,59
12:02:00,59
12:03:00,62
12:04:00,59
12:05:00,59
12:06:00,60
12:07:00,58
12:08:00,59
12:09:00,62
12:10:00,74
12:11:00,82
12:12:00,74
12:13:00,66
12:14:00,70
12:15:00,74
12:16:00,74
12:17:00,75
12:18:00,71
12:19:00,65
12:20:00,66
12:21:00,69
12:22:00,81
12:23:00,91
12:24:00,95
12:25:00,98
12:26:00,87
12:27:00,79
12:28:00,66
12:29:00,68
12:30:00,70
12:31:00,67
12:32:00,65
12:33:00,64
12:34:00,66
12:35:00,66
12:36:00,59
12:37:00,59
12:38:00,57
12:39:00,57
12:40:00,57
12:41:00,59
12:42:00,59
12:43:00,60
12:44:00,66
12:48:00,71
12:49:00,72
12:50:00,83
12:51:00,77
12:52:00,60
12:53:00,59
12:54:00,63
12:55:00,60
12:56:00,58
12:57:00,64
12:58:00,56
12:59:00,58
13:00:00,56
13:01:00,59
13:02:00,60
13:03:00,55
13:04:00,53
13:05:00,54
13:06:00,53
13:07:00,56
13:08:00,54
13:09:00,56
13:10:00,58
13:11:00,58
13:12:00,57
13:13:00,56
13:14:00,65
13:15:00,60
13:16:00,60
13:17:00,67
13:18:00,62
13:19:00,57
13:20:00,62
13:21:00,73
13:22:00,81
13:23:00,63
13:24:00,60
13:25:00,58
13:26:00,59
13:27:00,60
13:28:00,63
13:29:00,60
13:30:00,60
13:31:00,59
13:32:00,59
13:33:00,60
13:34:00,64
13:35:00,64
13:36:00,60
13:37:00,60
13:38:00,57
13:39:00,60
13:40:00,61
13:41:00,61
13:42:00,61
13:43:00,64
13:44:00,64
13:45:00,63
13:46:00,59
13:47:00,60
13:48:00,60
13:49:00,60
13:50:00,61
13:51:00,68
13:52:00,63
13:53:00,59
13:54:00,62
13:55:00,67
13:56:00,64
13:57:00,63
13:58:00,63
13:59:00,61
14:00:00,60
14:01:00,61
14:02:00,64
14:03:00,63
14:04:00,64
14:05:00,68
14:06:00,61
14:07:00,63
14:08:00,71
14:09:00,75
14:10:00,76
14:11:00,65
14:12:00,68
14:13:00,65
14:14:00,64
14:15:00,65
14:16:00,61
14:17:00,61
14:18:00,61
14:19:00,67
14:20:00,69
14:21:00,64
14:22:00,61
14:23:00,67
14:24:00,67
14:25:00,63
14:26:00,64
14:27:00,67
14:28:00,67
14:29:00,70
14:30:00,72
14:31:00,70
14:32:00,74
14:33:00,78
14:34:00,65
14:35:00,65
14:36:00,64
14:37:00,58
14:38:00,60
14:39:00,61
14:40:00,62
14:41:00,65
14:42:00,71
14:43:00,70
14:44:00,67
14:45:00,67
14:46:00,71
14:47:00,70
14:48:00,73
14:49:00,68
14:50:00,60
14:51:00,62
14:52:00,63
14:53:00,65
14:54:00,68
14:55:00,75
14:56:00,84
14:57:00,89
14:58:00,102
14:59:00,97
15:00:00,72
15:01:00,63
15:02:00,70
15:03:00,64
15:04:00,61
15:05:00,63
15:06:00,61
15:07:00,68
15:08:00,58
15:09:00,63
15:10:00,58
15:11:00,61
15:12:00,58
15:13:00,60
15:14:00,61
15:15:00,60
15:16:00,58
15:17:00,61
15:18:00,63
