Time,Heart Rate
00:00:00,57
00:01:00,56
00:02:00,58
00:03:00,54
00:04:00,57
00:05:00,57
00:06:00,62
00:07:00,60
00:08:00,61
00:09:00,60
00:10:00,57
00:11:00,59
00:12:00,59
00:13:00,60
00:14:00,56
00:15:00,57
00:16:00,56
00:17:00,57
00:18:00,55
00:19:00,56
00:20:00,62
00:21:00,56
00:22:00,56
00:23:00,58
00:24:00,57
00:25:00,55
00:26:00,56
00:27:00,56
00:28:00,59
00:29:00,61
00:30:00,57
00:31:00,57
00:32:00,59
00:33:00,55
00:34:00,54
00:35:00,57
00:36:00,54
00:37:00,55
00:38:00,55
00:39:00,53
00:40:00,56
00:41:00,54
00:42:00,55
00:43:00,55
00:44:00,56
00:45:00,60
00:46:00,58
00:47:00,56
00:48:00,57
00:49:00,55
00:50:00,58
00:51:00,58
00:52:00,56
00:53:00,55
00:54:00,56
00:55:00,58
00:56:00,58
00:57:00,60
00:58:00,61
00:59:00,57
01:00:00,58
01:01:00,57
01:02:00,55
01:03:00,55
01:04:00,60
01:05:00,58
01:06:00,58
01:07:00,57
01:08:00,57
01:09:00,55
01:10:00,55
01:11:00,56
01:12:00,55
01:13:00,56
01:14:00,55
01:15:00,56
01:16:00,56
01:17:00,55
01:18:00,56
01:19:00,55
01:20:00,55
01:21:00,57
01:22:00,59
01:23:00,58
01:24:00,60
01:25:00,59
01:26:00,63
01:27:00,58
01:28:00,60
01:29:00,57
01:30:00,57
01:31:00,57
01:32:00,57
01:33:00,55
01:34:00,56
01:35:00,56
01:36:00,58
01:37:00,59
01:38:00,59
01:39:00,59
01:40:00,56
01:41:00,57
01:42:00,61
01:43:00,58
01:44:00,58
01:45:00,56
01:46:00,55
01:47:00,55
01:48:00,57
01:49:00,57
01:50:00,59
01:51:00,57
01:52:00,58
01:53:00,56
01:54:00,58
01:55:00,56
01:56:00,55
01:57:00,58
01:58:00,63
01:59:00,61
02:00:00,64
02:01:00,63
02:02:00,61
02:03:00,56
02:04:00,59
02:05:00,58
02:06:00,57
02:07:00,58
02:08:00,59
02:09:00,65
02:10:00,59
02:11:00,61
02:12:00,64
02:13:00,64
02:14:00,63
02:15:00,61
02:16:00,64
02:17:00,56
02:18:00,59
02:19:00,57
02:20:00,56
02:21:00,57
02:22:00,60
02:23:00,67
02:24:00,68
02:25:00,77
02:26:00,72
02:27:00,65
02:28:00,64
02:29:00,60
02:30:00,62
02:31:00,65
02:32:00,58
02:33:00,63
02:34:00,62
02:35:00,59
02:36:00,63
02:37:00,60
02:38:00,58
02:39:00,57
02:40:00,61
02:41:00,59
02:42:00,57
02:43:00,59
02:44:00,58
02:45:00,62
02:46:00,59
02:47:00,58
02:48:00,61
02:49:00,61
02:50:00,60
02:51:00,58
02:52:00,61
02:53:00,59
02:54:00,57
02:55:00,59
02:56:00,59
02:57:00,59
02:58:00,60
02:59:00,61
03:00:00,65
03:01:00,65
03:02:00,70
03:03:00,73
03:04:00,74
03:05:00,78
03:06:00,75
03:07:00,84
03:08:00,77
03:09:00,62
03:10:00,61
03:11:00,62
03:12:00,60
03:13:00,59
03:14:00,64
03:15:00,63
03:16:00,65
03:17:00,58
03:18:00,60
03:19:00,60
03:20:00,64
03:21:00,62
03:22:00,61
03:23:00,58
03:24:00,56
03:25:00,56
03:26:00,59
03:27:00,57
03:28:00,58
03:29:00,58
03:30:00,57
03:31:00,62
03:32:00,62
03:33:00,67
03:34:00,60
03:35:00,56
03:36:00,61
03:37:00,69
03:38:00,64
03:39:00,76
03:40:00,76
03:41:00,75
03:42:00,74
03:43:00,73
03:44:00,79
03:45:00,77
03:46:00,71
03:47:00,70
03:48:00,71
03:49:00,66
03:50:00,69
03:51:00,67
03:52:00,64
03:53:00,59
03:54:00,64
03:55:00,67
03:56:00,64
03:57:00,65
03:58:00,60
03:59:00,58
04:00:00,55
04:01:00,56
04:02:00,52
04:03:00,49
04:04:00,53
04:05:00,54
04:06:00,54
04:07:00,52
04:08:00,50
04:09:00,54
04:10:00,53
04:11:00,51
04:12:00,50
04:13:00,52
04:14:00,49
04:15:00,53
04:16:00,48
04:17:00,47
04:18:00,47
04:19:00,45
04:20:00,45
04:21:00,45
04:22:00,45
04:23:00,45
04:24:00,44
04:25:00,45
04:26:00,44
04:27:00,44
04:28:00,45
04:29:00,44
04:30:00,44
04:31:00,43
04:32:00,44
04:33:00,44
04:34:00,43
04:35:00,44
04:36:00,44
04:37:00,44
04:38:00,44
04:39:00,44
04:40:00,44
04:41:00,45
04:42:00,44
04:43:00,44
04:44:00,44
04:45:00,45
04:46:00,44
04:47:00,45
04:48:00,43
04:49:00,44
04:50:00,44
04:51:00,44
04:52:00,46
04:53:00,45
04:54:00,45
04:55:00,45
04:56:00,51
04:57:00,47
04:58:00,46
04:59:00,43
05:00:00,43
05:01:00,43
05:02:00,42
05:03:00,43
05:04:00,44
05:05:00,44
05:06:00,44
05:07:00,44
05:08:00,44
05:09:00,43
05:10:00,44
05:11:00,44
05:12:00,44
05:13:00,44
05:14:00,44
05:15:00,44
05:16:00,45
05:17:00,44
05:18:00,45
05:19:00,45
05:20:00,45
05:21:00,45
05:22:00,50
05:23:00,43
05:24:00,48
05:25:00,51
05:26:00,51
05:27:00,48
05:28:00,51
05:29:00,51
05:30:00,50
05:31:00,48
05:32:00,48
05:33:00,48
05:34:00,47
05:35:00,55
05:36:00,49
05:37:00,49
05:38:00,45
05:39:00,46
05:40:00,50
05:41:00,48
05:42:00,51
05:43:00,47
05:44:00,47
05:45:00,46
05:46:00,46
05:47:00,47
05:48:00,53
05:49:00,48
05:50:00,45
05:51:00,44
05:52:00,46
05:53:00,43
05:54:00,44
05:55:00,44
05:56:00,44
05:57:00,44
05:58:00,44
05:59:00,44
06:00:00,44
06:01:00,45
06:02:00,45
06:03:00,44
06:04:00,44
06:05:00,46
06:06:00,45
06:07:00,45
06:08:00,45
06:09:00,44
06:10:00,44
06:11:00,45
06:12:00,44
06:13:00,44
06:14:00,44
06:15:00,44
06:16:00,44
06:17:00,45
06:18:00,45
06:19:00,44
06:20:00,44
06:21:00,45
06:22:00,45
06:23:00,44
06:24:00,44
06:25:00,45
06:26:00,44
06:27:00,44
06:28:00,44
06:29:00,45
06:30:00,45
06:31:00,45
06:32:00,44
06:33:00,45
06:34:00,44
06:35:00,45
06:36:00,45
06:37:00,45
06:38:00,45
06:39:00,45
06:40:00,49
06:41:00,45
06:42:00,43
06:43:00,43
06:44:00,42
06:45:00,44
06:46:00,43
06:47:00,46
06:48:00,46
06:49:00,48
06:50:00,50
06:51:00,45
06:52:00,45
06:53:00,48
06:54:00,49
06:55:00,47
06:56:00,50
06:57:00,46
06:58:00,47
06:59:00,46
07:00:00,48
07:01:00,46
07:02:00,43
07:03:00,44
07:04:00,44
07:05:00,47
07:06:00,44
07:07:00,44
07:08:00,44
07:09:00,45
07:10:00,43
07:11:00,45
07:12:00,43
07:13:00,42
07:14:00,46
07:15:00,44
07:16:00,43
07:17:00,44
07:18:00,44
07:19:00,46
07:20:00,43
07:21:00,43
07:22:00,43
07:23:00,44
07:24:00,42
07:25:00,43
07:26:00,43
07:27:00,42
07:28:00,43
07:29:00,43
07:30:00,44
07:31:00,43
07:33:00,43
07:34:00,43
07:35:00,43
07:36:00,43
07:37:00,52
07:38:00,52
07:39:00,51
07:40:00,57
07:41:00,57
07:42:00,55
07:43:00,55
07:44:00,51
07:45:00,53
07:46:00,53
07:47:00,53
07:48:00,53
07:49:00,53
07:50:00,53
07:51:00,49
07:52:00,48
07:53:00,47
07:54:00,45
07:55:00,43
07:56:00,48
07:57:00,63
07:58:00,54
07:59:00,50
08:00:00,47
08:01:00,45
08:02:00,45
08:03:00,45
08:04:00,44
08:05:00,46
08:06:00,45
08:07:00,44
08:08:00,46
08:09:00,44
08:10:00,43
08:11:00,44
08:12:00,45
08:13:00,48
08:14:00,45
08:15:00,44
08:16:00,44
08:17:00,43
08:18:00,44
08:19:00,44
08:20:00,56
08:21:00,47
08:22:00,44
08:23:00,44
08:24:00,43
08:25:00,44
08:26:00,44
08:27:00,45
08:28:00,48
08:29:00,44
08:30:00,49
08:31:00,52
08:32:00,46
08:33:00,46
08:34:00,44
08:35:00,51
08:36:00,49
08:37:00,53
08:38:00,51
08:39:00,52
08:40:00,50
08:41:00,50
08:42:00,49
08:43:00,52
08:44:00,51
08:45:00,49
08:46:00,51
08:47:00,53
08:48:00,54
08:49:00,56
08:50:00,49
08:51:00,48
08:52:00,48
08:53:00,52
08:54:00,52
08:55:00,48
08:56:00,50
08:57:00,47
08:58:00,50
08:59:00,50
09:00:00,49
09:01:00,50
09:02:00,47
09:03:00,50
09:04:00,50
09:05:00,49
09:06:00,48
09:07:00,47
09:08:00,48
09:09:00,47
09:10:00,49
09:11:00,50
09:12:00,50
09:13:00,50
09:14:00,50
09:15:00,54
09:16:00,51
09:17:00,52
09:18:00,58
09:19:00,56
09:20:00,54
09:21:00,51
09:22:00,50
09:23:00,58
09:24:00,49
09:25:00,48
09:26:00,49
09:27:00,48
09:28:00,50
09:29:00,53
09:30:00,56
09:31:00,46
09:32:00,48
09:33:00,47
09:34:00,48
09:35:00,47
09:36:00,46
09:37:00,46
09:38:00,47
09:39:00,46
09:40:00,45
09:41:00,47
09:42:00,47
09:43:00,46
09:44:00,62
09:45:00,51
09:46:00,47
09:47:00,47
09:48:00,46
09:49:00,46
09:50:00,47
09:51:00,46
09:52:00,46
