Time,Heart Rate
00:00:00,51
00:01:00,50
00:02:00,49
00:03:00,50
00:04:00,50
00:05:00,52
00:06:00,53
00:07:00,50
00:08:00,53
00:09:00,52
00:10:00,51
00:11:00,50
00:12:00,53
00:13:00,53
00:14:00,55
00:15:00,54
00:16:00,54
00:19:00,52
00:20:00,53
00:21:00,60
00:22:00,60
00:23:00,53
00:24:00,54
00:25:00,50
00:26:00,56
00:27:00,54
00:28:00,55
00:29:00,54
00:30:00,51
00:31:00,51
00:32:00,51
00:33:00,55
00:34:00,54
00:35:00,54
00:36:00,52
00:37:00,52
00:38:00,52
00:39:00,54
00:40:00,52
00:41:00,51
00:42:00,50
00:43:00,51
00:44:00,50
00:45:00,50
00:46:00,49
00:47:00,48
00:48:00,48
00:49:00,49
00:50:00,48
00:51:00,48
00:52:00,49
00:53:00,48
00:54:00,48
00:55:00,47
00:56:00,46
00:57:00,47
00:58:00,48
00:59:00,48
01:00:00,49
01:01:00,49
01:02:00,48
01:03:00,48
01:04:00,48
01:05:00,47
01:06:00,48
01:07:00,48
01:08:00,48
01:09:00,47
01:10:00,48
01:11:00,48
01:12:00,47
01:13:00,48
01:14:00,47
01:15:00,48
01:16:00,50
01:17:00,55
01:18:00,46
01:19:00,46
01:20:00,46
01:21:00,46
01:22:00,46
01:23:00,46
01:24:00,46
01:25:00,47
01:26:00,47
01:27:00,46
01:28:00,46
01:29:00,46
01:30:00,46
01:31:00,46
01:32:00,47
01:33:00,47
01:34:00,46
01:35:00,47
01:36:00,47
01:37:00,48
01:38:00,46
01:39:00,47
01:40:00,47
01:41:00,47
01:42:00,47
01:43:00,47
01:44:00,46
01:45:00,47
01:46:00,47
01:47:00,46
01:48:00,46
01:49:00,46
01:50:00,50
01:51:00,52
01:52:00,50
01:53:00,54
01:54:00,59
01:55:00,49
01:56:00,49
01:57:00,49
01:58:00,50
01:59:00,51
02:00:00,49
02:01:00,50
02:02:00,50
02:03:00,49
02:04:00,50
02:05:00,55
02:06:00,46
02:07:00,45
02:08:00,46
02:09:00,45
02:10:00,45
02:11:00,45
02:12:00,43
02:13:00,44
02:14:00,43
02:15:00,44
02:16:00,43
02:17:00,44
02:18:00,44
02:19:00,44
02:20:00,44
02:21:00,43
02:22:00,44
02:23:00,43
02:24:00,43
02:25:00,42
02:26:00,43
02:27:00,42
02:28:00,41
02:29:00,43
02:30:00,43
02:31:00,42
02:32:00,43
02:33:00,43
02:34:00,43
02:35:00,43
02:36:00,43
02:37:00,43
02:38:00,43
02:39:00,43
02:40:00,44
02:41:00,45
02:42:00,44
02:43:00,44
02:44:00,44
02:45:00,44
02:46:00,45
02:47:00,46
02:48:00,45
02:49:00,45
02:50:00,45
02:51:00,44
02:52:00,44
02:53:00,45
02:54:00,46
02:55:00,45
02:56:00,45
02:57:00,45
02:58:00,45
02:59:00,45
03:00:00,44
03:01:00,45
03:02:00,44
03:03:00,44
03:04:00,44
03:05:00,44
03:06:00,44
03:07:00,51
03:08:00,44
03:09:00,44
03:10:00,43
03:11:00,44
03:12:00,44
03:13:00,44
03:14:00,43
03:15:00,42
03:16:00,42
03:17:00,43
03:18:00,44
03:19:00,46
03:20:00,46
03:21:00,46
03:22:00,52
03:23:00,47
03:24:00,46
03:25:00,48
03:26:00,51
03:27:00,54
03:28:00,51
03:29:00,49
03:30:00,48
03:31:00,45
03:32:00,52
03:33:00,46
03:34:00,44
03:35:00,45
03:36:00,47
03:37:00,44
03:38:00,53
03:39:00,65
03:40:00,60
03:41:00,57
03:42:00,50
03:43:00,46
03:44:00,46
03:45:00,44
03:46:00,43
03:47:00,45
03:48:00,46
03:49:00,45
03:50:00,44
03:51:00,47
03:52:00,46
03:53:00,46
03:54:00,46
03:55:00,47
03:56:00,46
03:57:00,45
03:58:00,45
03:59:00,47
04:00:00,48
04:01:00,44
04:02:00,43
04:03:00,44
04:04:00,43
04:05:00,44
04:06:00,43
04:07:00,44
04:08:00,44
04:09:00,44
04:10:00,43
04:11:00,43
04:12:00,44
04:13:00,44
04:14:00,43
04:15:00,43
04:16:00,42
04:17:00,44
04:18:00,43
04:19:00,43
04:20:00,43
04:21:00,43
04:22:00,43
04:23:00,43
04:24:00,43
04:25:00,43
04:26:00,42
04:27:00,42
04:28:00,43
04:29:00,43
04:30:00,43
04:31:00,43
04:32:00,42
04:33:00,43
04:34:00,44
04:35:00,43
04:36:00,43
04:37:00,42
04:38:00,43
04:39:00,43
04:40:00,43
04:41:00,43
04:42:00,43
04:43:00,43
04:44:00,42
04:45:00,43
04:46:00,43
04:47:00,43
04:48:00,43
04:49:00,43
04:50:00,43
04:51:00,46
04:52:00,48
04:53:00,45
04:54:00,43
04:55:00,43
04:56:00,43
04:57:00,42
04:58:00,43
04:59:00,43
05:00:00,43
05:01:00,42
05:02:00,41
05:03:00,42
05:04:00,41
05:05:00,42
05:06:00,42
05:07:00,42
05:08:00,42
05:09:00,41
05:10:00,43
05:11:00,43
05:12:00,43
05:13:00,42
05:14:00,43
05:15:00,51
05:16:00,49
05:17:00,48
05:18:00,48
05:19:00,44
05:20:00,44
05:21:00,43
05:22:00,42
05:23:00,42
05:24:00,41
05:25:00,42
05:26:00,42
05:27:00,42
05:28:00,41
05:29:00,42
05:30:00,43
05:31:00,45
05:32:00,45
05:33:00,49
05:34:00,45
05:35:00,46
05:36:00,46
05:37:00,46
05:38:00,51
05:39:00,46
05:40:00,46
05:41:00,47
05:42:00,48
05:43:00,66
05:44:00,61
05:45:00,60
05:46:00,54
05:47:00,53
05:48:00,53
05:49:00,50
05:50:00,46
05:51:00,46
05:52:00,47
05:53:00,50
05:54:00,50
05:55:00,46
05:56:00,45
05:57:00,46
05:58:00,51
05:59:00,52
06:00:00,55
06:01:00,46
06:02:00,48
