Time,Heart Rate
00:00:00,54
00:01:00,56
00:02:00,58
00:03:00,59
00:04:00,57
00:05:00,64
00:06:00,55
00:07:00,51
00:08:00,53
00:09:00,54
00:10:00,58
00:11:00,59
00:12:00,56
00:13:00,60
00:14:00,69
00:15:00,70
00:16:00,59
00:17:00,53
00:18:00,55
00:19:00,56
00:20:00,58
00:21:00,55
00:22:00,62
00:23:00,55
00:24:00,54
00:25:00,56
00:26:00,53
00:27:00,54
00:28:00,56
00:29:00,56
00:30:00,55
00:31:00,54
00:32:00,58
00:33:00,61
00:34:00,58
00:35:00,59
00:36:00,58
00:37:00,63
00:38:00,68
00:39:00,61
00:40:00,59
00:41:00,59
00:42:00,64
00:43:00,63
00:44:00,61
00:45:00,69
00:46:00,63
00:47:00,55
00:48:00,58
00:49:00,57
00:50:00,56
00:51:00,58
00:52:00,54
00:53:00,58
00:54:00,61
00:55:00,67
00:56:00,72
00:57:00,71
00:58:00,69
00:59:00,70
01:00:00,68
01:01:00,70
01:02:00,63
01:03:00,68
01:04:00,68
01:05:00,72
01:06:00,60
01:07:00,62
01:08:00,69
01:09:00,69
01:10:00,70
01:11:00,62
01:12:00,55
01:13:00,55
01:14:00,51
01:15:00,52
01:16:00,50
01:17:00,50
01:18:00,48
01:19:00,48
01:20:00,49
01:21:00,48
01:22:00,46
01:23:00,47
01:24:00,59
01:25:00,50
01:26:00,48
01:27:00,46
01:28:00,45
01:29:00,44
01:30:00,45
01:31:00,45
01:32:00,45
01:33:00,45
01:34:00,45
01:35:00,45
01:36:00,45
01:37:00,44
01:38:00,45
01:39:00,45
01:40:00,45
01:41:00,45
01:42:00,47
01:43:00,45
01:44:00,46
01:45:00,46
01:46:00,45
01:47:00,47
01:48:00,46
01:49:00,45
01:50:00,44
01:51:00,45
01:52:00,46
01:53:00,45
01:54:00,45
01:55:00,46
01:56:00,46
01:57:00,47
01:58:00,46
01:59:00,46
02:00:00,45
02:01:00,46
02:02:00,46
02:03:00,47
02:04:00,48
02:05:00,48
02:06:00,48
02:07:00,48
02:08:00,47
02:09:00,48
02:10:00,48
02:11:00,48
02:12:00,49
02:13:00,49
02:14:00,50
02:15:00,49
02:16:00,49
02:17:00,49
02:18:00,49
02:19:00,49
02:20:00,49
02:21:00,50
02:22:00,53
02:23:00,53
02:24:00,57
02:25:00,55
02:26:00,55
02:27:00,54
02:28:00,54
02:29:00,52
02:30:00,56
02:31:00,52
02:32:00,54
02:33:00,57
02:34:00,54
02:35:00,52
02:36:00,52
02:37:00,52
02:38:00,52
02:39:00,52
02:40:00,52
02:41:00,51
02:42:00,51
02:43:00,50
02:44:00,51
02:45:00,51
02:46:00,58
02:47:00,51
02:48:00,51
02:49:00,51
02:50:00,52
02:51:00,51
02:52:00,51
02:53:00,51
02:54:00,51
02:55:00,51
02:56:00,50
02:57:00,51
02:58:00,49
02:59:00,50
03:00:00,50
03:01:00,50
03:02:00,50
03:03:00,49
03:04:00,49
03:05:00,50
03:06:00,49
03:07:00,49
03:08:00,49
03:09:00,49
03:10:00,49
03:11:00,50
03:12:00,49
03:13:00,49
03:14:00,48
03:15:00,49
03:16:00,48
03:17:00,49
03:18:00,49
03:19:00,48
03:20:00,48
03:21:00,48
03:22:00,48
03:23:00,48
03:24:00,48
03:25:00,48
03:26:00,48
03:27:00,49
03:28:00,48
03:29:00,60
03:30:00,47
03:31:00,47
03:32:00,48
03:33:00,48
03:34:00,48
03:35:00,47
03:36:00,47
03:37:00,47
03:38:00,46
03:39:00,45
03:40:00,46
03:41:00,45
03:42:00,45
03:43:00,44
03:44:00,44
03:45:00,44
03:46:00,45
03:47:00,47
03:48:00,49
03:49:00,49
03:50:00,53
03:51:00,54
03:52:00,55
03:53:00,52
03:54:00,53
03:55:00,50
03:56:00,51
03:57:00,55
