Time,Heart Rate
00:00:00,57
00:01:00,57
00:02:00,54
00:03:00,56
00:04:00,55
00:05:00,55
00:06:00,55
00:07:00,53
00:08:00,51
00:09:00,61
00:10:00,70
00:11:00,66
00:12:00,53
00:13:00,55
00:14:00,53
00:15:00,55
00:16:00,60
00:17:00,62
00:18:00,59
00:19:00,55
00:20:00,58
00:21:00,61
00:22:00,60
00:23:00,62
00:24:00,56
00:25:00,57
00:26:00,55
00:27:00,56
00:28:00,66
00:29:00,65
00:30:00,62
00:31:00,61
00:32:00,66
00:33:00,63
00:36:00,57
00:37:00,55
00:38:00,61
00:39:00,60
00:40:00,57
00:41:00,63
00:42:00,59
00:43:00,54
00:44:00,57
00:45:00,59
00:46:00,73
00:47:00,78
00:48:00,71
00:49:00,68
00:50:00,67
00:51:00,68
00:52:00,67
00:53:00,59
00:54:00,55
00:55:00,54
00:56:00,54
00:57:00,55
00:58:00,69
00:59:00,63
01:00:00,58
01:01:00,58
01:02:00,66
01:03:00,71
01:04:00,65
01:05:00,61
01:06:00,62
01:07:00,61
01:08:00,65
01:09:00,60
01:10:00,59
01:11:00,57
01:12:00,53
01:13:00,60
01:14:00,63
01:15:00,63
01:16:00,64
01:17:00,63
01:18:00,62
01:19:00,62
01:20:00,62
01:21:00,63
01:22:00,62
01:23:00,67
01:24:00,68
01:25:00,59
01:26:00,57
01:27:00,57
01:28:00,65
01:29:00,60
01:30:00,59
01:31:00,62
01:32:00,62
01:33:00,62
01:34:00,60
01:35:00,68
01:36:00,66
01:37:00,62
01:38:00,63
01:39:00,69
01:40:00,70
01:41:00,72
01:42:00,73
01:43:00,71
01:44:00,69
01:45:00,73
01:46:00,63
01:47:00,66
01:48:00,66
01:49:00,68
01:50:00,68
01:51:00,71
01:52:00,73
01:53:00,58
01:54:00,56
01:55:00,57
01:56:00,55
01:57:00,56
01:58:00,54
01:59:00,58
02:00:00,57
02:01:00,55
02:02:00,52
02:03:00,54
02:04:00,52
02:05:00,52
02:06:00,50
02:07:00,52
02:08:00,53
02:09:00,51
02:10:00,55
02:11:00,56
02:12:00,54
02:13:00,56
02:14:00,69
02:15:00,61
02:16:00,56
02:17:00,55
02:18:00,55
02:19:00,55
02:20:00,54
02:21:00,55
02:22:00,54
02:23:00,56
02:24:00,57
02:25:00,58
02:26:00,60
02:27:00,58
02:28:00,57
02:29:00,57
02:30:00,59
02:31:00,57
02:32:00,56
02:33:00,63
02:34:00,56
02:35:00,55
02:36:00,56
02:37:00,55
02:38:00,56
02:39:00,54
02:40:00,55
02:41:00,54
02:42:00,54
02:43:00,53
02:44:00,52
02:45:00,53
02:46:00,55
02:47:00,54
02:48:00,53
02:49:00,54
02:50:00,53
02:51:00,53
02:52:00,53
02:53:00,54
02:54:00,53
02:55:00,54
02:56:00,53
02:57:00,54
02:58:00,53
02:59:00,54
03:00:00,53
03:01:00,54
03:02:00,56
03:03:00,58
03:04:00,53
03:05:00,51
03:06:00,52
03:07:00,51
03:08:00,52
03:09:00,52
03:10:00,52
03:11:00,51
03:12:00,52
03:13:00,52
03:14:00,51
03:15:00,50
03:16:00,51
03:17:00,51
03:18:00,50
03:19:00,51
03:20:00,50
03:21:00,51
03:22:00,50
03:23:00,50
03:24:00,51
03:25:00,52
03:26:00,52
03:27:00,52
03:28:00,51
03:29:00,56
03:30:00,49
03:31:00,50
03:32:00,49
03:33:00,53
03:34:00,56
03:35:00,59
03:36:00,60
03:37:00,58
03:38:00,58
03:39:00,66
03:40:00,67
03:41:00,61
03:42:00,60
03:43:00,63
03:44:00,53
03:45:00,55
03:46:00,56
03:47:00,55
03:48:00,54
03:49:00,55
03:50:00,51
03:51:00,51
03:52:00,51
03:53:00,51
03:54:00,51
03:55:00,50
03:56:00,50
03:57:00,50
03:58:00,50
03:59:00,52
04:00:00,51
04:01:00,52
04:02:00,53
04:03:00,53
04:04:00,53
04:05:00,50
04:06:00,53
04:07:00,51
04:08:00,51
04:09:00,52
04:10:00,52
04:11:00,52
04:12:00,52
04:13:00,52
04:14:00,52
04:15:00,52
04:16:00,51
04:17:00,52
04:18:00,51
04:19:00,51
04:20:00,51
04:21:00,51
04:22:00,50
04:23:00,50
04:24:00,51
04:25:00,50
04:26:00,50
04:27:00,50
04:28:00,50
04:29:00,50
04:30:00,50
04:31:00,51
04:32:00,55
04:33:00,48
04:34:00,50
04:35:00,50
04:36:00,49
04:37:00,50
04:38:00,50
04:39:00,49
04:40:00,50
04:41:00,50
04:42:00,49
04:43:00,50
04:44:00,50
04:45:00,50
04:46:00,51
04:47:00,50
04:48:00,50
04:49:00,50
04:50:00,51
04:51:00,50
04:52:00,51
04:53:00,50
04:54:00,51
04:55:00,51
04:56:00,54
04:57:00,47
04:58:00,49
04:59:00,48
05:00:00,49
05:01:00,47
05:02:00,49
05:03:00,51
05:04:00,52
05:05:00,53
05:06:00,55
05:07:00,54
05:08:00,51
05:09:00,52
05:10:00,54
05:11:00,56
