Time,Heart Rate
00:00:00,52
00:01:00,49
00:02:00,50
00:03:00,51
00:04:00,49
00:05:00,50
00:06:00,51
00:07:00,66
00:08:00,62
00:09:00,54
00:10:00,53
00:11:00,51
00:12:00,52
00:13:00,48
00:14:00,50
00:15:00,50
00:16:00,49
00:17:00,48
00:18:00,47
00:19:00,47
00:20:00,48
00:21:00,50
00:22:00,48
00:23:00,46
00:24:00,47
00:25:00,46
00:26:00,47
00:27:00,50
00:28:00,50
00:29:00,50
00:30:00,48
00:31:00,47
00:32:00,45
00:34:00,51
00:35:00,46
00:36:00,45
00:37:00,45
00:38:00,45
00:39:00,55
00:40:00,49
00:41:00,50
00:42:00,51
00:43:00,52
00:44:00,51
00:45:00,51
00:48:00,52
00:49:00,53
00:50:00,53
00:51:00,50
00:52:00,50
00:53:00,49
00:54:00,47
00:55:00,46
00:56:00,47
00:57:00,49
00:58:00,49
00:59:00,48
01:00:00,50
01:01:00,50
01:02:00,49
01:03:00,49
01:04:00,49
01:05:00,48
01:06:00,47
01:07:00,47
01:08:00,46
01:09:00,47
01:10:00,49
01:11:00,53
01:12:00,50
01:13:00,49
01:14:00,50
01:15:00,49
01:16:00,48
01:17:00,48
01:18:00,48
01:19:00,47
01:20:00,47
01:21:00,55
01:22:00,49
01:23:00,47
01:24:00,64
01:25:00,79
01:26:00,78
01:27:00,77
01:28:00,59
01:29:00,50
01:30:00,48
01:31:00,46
01:32:00,47
01:33:00,46
01:34:00,45
01:35:00,45
01:36:00,45
01:37:00,51
01:38:00,56
01:39:00,53
01:40:00,52
01:41:00,49
01:42:00,48
01:43:00,47
01:44:00,45
01:45:00,46
01:46:00,54
01:47:00,51
01:48:00,49
01:49:00,48
01:50:00,48
01:51:00,54
01:52:00,51
01:53:00,49
01:54:00,49
01:55:00,49
01:56:00,46
01:57:00,46
01:58:00,46
01:59:00,46
02:00:00,45
02:01:00,46
02:02:00,47
02:03:00,46
02:04:00,46
02:05:00,47
02:06:00,47
02:07:00,47
02:08:00,46
02:09:00,46
02:10:00,46
02:21:00,57
02:22:00,47
02:23:00,46
02:24:00,46
02:25:00,46
02:26:00,46
02:27:00,46
02:28:00,45
02:29:00,45
02:30:00,46
02:31:00,46
02:32:00,46
02:33:00,46
02:34:00,45
02:35:00,45
02:36:00,45
02:37:00,46
02:38:00,46
02:39:00,46
02:40:00,45
02:41:00,45
02:42:00,46
02:43:00,46
02:44:00,45
02:45:00,45
02:46:00,45
02:47:00,45
02:48:00,46
02:49:00,46
02:50:00,45
02:51:00,46
02:52:00,46
02:53:00,45
02:54:00,46
02:55:00,48
02:56:00,51
02:57:00,52
02:58:00,51
02:59:00,56
03:00:00,48
03:01:00,50
03:02:00,49
03:03:00,50
03:04:00,49
03:05:00,49
03:06:00,48
03:07:00,49
03:08:00,49
03:09:00,50
03:10:00,48
03:11:00,50
03:12:00,48
03:13:00,47
03:14:00,48
03:15:00,47
03:16:00,46
03:17:00,46
03:18:00,47
03:19:00,48
03:20:00,45
03:21:00,46
03:22:00,47
03:23:00,51
03:24:00,46
03:25:00,46
03:26:00,46
03:27:00,46
03:28:00,46
03:29:00,45
03:30:00,45
03:31:00,45
03:32:00,46
03:33:00,45
03:34:00,45
03:35:00,51
03:36:00,44
03:37:00,46
03:38:00,48
03:39:00,43
03:40:00,43
03:41:00,42
03:42:00,42
03:43:00,42
03:44:00,42
03:45:00,42
03:46:00,42
03:47:00,41
03:48:00,41
03:49:00,43
03:50:00,42
03:51:00,42
03:52:00,42
03:53:00,42
03:54:00,43
03:55:00,42
03:56:00,42
03:57:00,42
03:58:00,42
03:59:00,43
04:00:00,42
04:01:00,42
04:02:00,43
04:03:00,43
04:04:00,43
04:05:00,44
04:06:00,44
04:07:00,44
04:08:00,43
04:09:00,43
04:10:00,44
04:11:00,43
04:12:00,43
04:13:00,43
04:14:00,44
04:15:00,43
04:16:00,46
04:17:00,50
04:18:00,49
04:19:00,48
04:20:00,50
04:21:00,46
04:22:00,50
04:23:00,49
04:24:00,49
04:25:00,51
04:26:00,49
04:27:00,50
04:28:00,51
04:29:00,52
04:30:00,52
04:31:00,52
04:32:00,56
04:33:00,49
04:34:00,49
04:35:00,49
04:36:00,52
04:37:00,46
04:38:00,46
04:39:00,46
04:40:00,46
04:41:00,48
04:42:00,46
04:43:00,48
04:44:00,49
04:45:00,48
04:46:00,49
04:47:00,57
04:48:00,46
04:49:00,48
04:50:00,46
04:51:00,46
04:52:00,45
04:53:00,45
04:54:00,46
04:55:00,45
04:56:00,45
04:57:00,45
04:58:00,45
04:59:00,44
05:00:00,43
05:01:00,43
05:02:00,43
05:03:00,43
05:04:00,42
05:05:00,42
05:06:00,44
05:07:00,43
05:08:00,42
05:09:00,43
05:10:00,42
05:11:00,43
05:12:00,42
05:13:00,42
05:14:00,41
05:15:00,43
05:16:00,42
05:17:00,41
05:18:00,42
05:19:00,42
05:20:00,41
05:21:00,42
05:22:00,42
05:23:00,43
05:24:00,42
05:25:00,42
05:26:00,42
05:27:00,42
05:28:00,43
05:29:00,42
05:30:00,41
05:31:00,42
05:32:00,43
05:33:00,43
05:34:00,43
05:35:00,42
05:36:00,42
05:37:00,42
05:38:00,43
05:39:00,42
05:40:00,42
05:41:00,45
05:42:00,44
05:43:00,46
05:44:00,43
05:45:00,43
05:46:00,44
05:47:00,46
05:48:00,53
05:49:00,68
05:50:00,80
05:52:00,111
05:53:00,118
05:54:00,158
05:55:00,160
05:57:00,171
05:58:00,117
05:59:00,95
06:07:00,86
06:08:00,87
06:09:00,86
06:10:00,89
06:11:00,92
06:12:00,90
06:13:00,87
06:14:00,84
